Date,User,Tweet,Tweet_no_http,Translated
2022-07-24 14:31:33+00:00,hear39,"和也遅くまで今日もがんばるね﹙´˙꒳​˙*﹚。いつも通りなら22時頃まで通常営業していたのかな？？お疲れ様𐀑 ꪾ*ﾟ
猛暑日だったけど疲れは大丈夫？？コロナ大流行してるからコツコツお休みしようね❁*。何とは言えないけど、ありがと⸜( * ॑꒳ ॑*)⸝⋆⸜(* ॑꒳ ॑* )⸝みてるね♩*ﾟ #Going #亀梨和也","和也遅くまで今日もがんばるね﹙´˙꒳​˙*﹚。いつも通りなら22時頃まで通常営業していたのかな？？お疲れ様𐀑 ꪾ*ﾟ
猛暑日だったけど疲れは大丈夫？？コロナ大流行してるからコツコツお休みしようね❁*。何とは言えないけど、ありがと⸜( * ॑꒳ ॑*)⸝⋆⸜(* ॑꒳ ॑* )⸝みてるね♩*ﾟ #Going #亀梨和也","Kazuya I'll do my best until late today ﹙´˙꒳​˙*﹚. I wonder if it was open as usual until around 22:00? ? Good job 𐀑 ꪾ*ﾟ
It was a hot day, but are you okay with getting tired? ? Corona is all the rage, so let's take a break ❁*. I can't say anything, but thank you⸜(* ॑꒳ ॑*)⸝⋆⸜(* ॑꒳ ॑*)⸝ I'm watching ♩*ﾟ #Going #Kazuya Kamenashi"
2022-07-24 14:30:38+00:00,mrji_MK,今日でスマートウォッチ（正確にはスマートバンド）買って一週間経って、風呂以外は寝てる時も含め常時装着してるが、心拍数とか歩数とか睡眠データとかストレス値とかをモニタリングしててホンマ面白い。医療用まで正確じゃなかろうが血中酸素濃度も測定できるしコロナ用と考えてもええ買い物やった。,今日でスマートウォッチ（正確にはスマートバンド）買って一週間経って、風呂以外は寝てる時も含め常時装着してるが、心拍数とか歩数とか睡眠データとかストレス値とかをモニタリングしててホンマ面白い。医療用まで正確じゃなかろうが血中酸素濃度も測定できるしコロナ用と考えてもええ買い物やった。,"It's been a week since I bought a smart watch (more precisely, a smart band) today, and I wear it all the time, including when I'm sleeping, except when I'm taking a bath. . It may not be accurate enough for medical use, but it can measure blood oxygen levels, and even if you think it's for corona, yes, I did shopping."
2022-07-24 14:27:49+00:00,koyomi1234567,コロナのせいでストレス溜まってゲームもLINEもしばらく封印すると決めた今日この頃,コロナのせいでストレス溜まってゲームもLINEもしばらく封印すると決めた今日この頃,"Around this time, I decided to shut down the game and LINE for a while due to the stress caused by the corona virus."
2022-07-24 14:27:25+00:00,cona_wind3751,"9時間掛りましたが、無事終了😊
桜島噴火したけど、少しでも地球の核のストレスが減少するといいな a 😉
悩みぬいて涙してきた１年間の苦悩にピリオドを打つ時が来ました。自分の人生だから自分んで決めなきゃ🙃
今週もコロナ感染と熱中症対策しながら頑張りましょう💞 https://t.co/nvRvWvVIPq","9時間掛りましたが、無事終了😊
桜島噴火したけど、少しでも地球の核のストレスが減少するといいな a 😉
悩みぬいて涙してきた１年間の苦悩にピリオドを打つ時が来ました。自分の人生だから自分んで決めなきゃ🙃
今週もコロナ感染と熱中症対策しながら頑張りましょう💞  ","It took 9 hours, but it ended successfully 😊
Sakurajima erupted, but I hope the nuclear stress of the earth will decrease a 😉
It's time to put an end to a year of pain and tears. It's your life so you have to decide for yourself🙃
Let's do our best while taking care of corona infection and heat stroke this week 💞"
2022-07-24 14:19:22+00:00,tJS8SRxChMrdJPV,コロナからの復帰11日目。疲れ易さはあるけど、復帰直ぐから夜勤もしてるし、なんとかやってる。食欲も徐々に普通、だけど食べると気持ち悪い。今日も夜勤。オムツのゴミをまとめたら、右肩やってしまった💦痛〜,コロナからの復帰11日目。疲れ易さはあるけど、復帰直ぐから夜勤もしてるし、なんとかやってる。食欲も徐々に普通、だけど食べると気持ち悪い。今日も夜勤。オムツのゴミをまとめたら、右肩やってしまった💦痛〜,"11th day back from corona. I get tired easily, but I've been working night shifts since I came back, and I'm doing it somehow. My appetite is gradually normal, but I feel sick when I eat. Night shift today. When I collected the garbage of the diaper, I hurt my right shoulder 💦 Ouch ~"
2022-07-24 14:14:42+00:00,kazuofujii0206,"9泊10日、生きて帰れた。
毎日、数十名の子供たちの前であの曲、この曲と沢山やった！途中、コロナでキャンセルになった学校の代わりに行く学校のスコアを前夜遅くまで見る日もあった。
で、疲れ果てて現在濃いウイスキー水割りでクールダウン。","9泊10日、生きて帰れた。
毎日、数十名の子供たちの前であの曲、この曲と沢山やった！途中、コロナでキャンセルになった学校の代わりに行く学校のスコアを前夜遅くまで見る日もあった。
で、疲れ果てて現在濃いウイスキー水割りでクールダウン。","I survived for 9 nights and 10 days.
Every day, in front of dozens of children, we played that song, this song, and so on! On the way, there were days when I watched the score of the school I went to instead of the school that was canceled due to Corona until late the night before.
So, I'm exhausted and cool down with a thick whiskey and water."
2022-07-24 14:14:37+00:00,halpas_D,"すまない。
夜勤と仕事環境の悪化（特に室温）で疲れが抜けず、しばらくTwitterを離れようと思っている。

チーム連絡等はDiscordでお願いします。

シフト作ってる部長がコロナでわからんので復帰予定は未定です。
ひとまず我輩、今週は休みます。","すまない。
夜勤と仕事環境の悪化（特に室温）で疲れが抜けず、しばらくTwitterを離れようと思っている。

チーム連絡等はDiscordでお願いします。

シフト作ってる部長がコロナでわからんので復帰予定は未定です。
ひとまず我輩、今週は休みます。","I'm sorry.
I'm tired from the night shift and the deterioration of the work environment (especially the room temperature), and I'm thinking of leaving Twitter for a while.

Please use Discord to contact the team.

I don't know the manager who is making the shift because of Corona, so I don't know when to return.
First of all, I'm taking a break this week."
2022-07-24 14:14:08+00:00,inaokichi,"「コロナは風邪みたいなもんだ」って人が多くなっているけど、やっぱり危険な感染症だと思うんだよな。
職場の同僚の家族も、ジョギング趣味の人だったのに、後遺症で疲れやすくなっちゃって、運動どころか仕事もきつくなっているって。
今、自分がそんな状況になったら、本当に困ったことになる。","「コロナは風邪みたいなもんだ」って人が多くなっているけど、やっぱり危険な感染症だと思うんだよな。
職場の同僚の家族も、ジョギング趣味の人だったのに、後遺症で疲れやすくなっちゃって、運動どころか仕事もきつくなっているって。
今、自分がそんな状況になったら、本当に困ったことになる。","More and more people are saying, ""Corona is like a cold,"" but I think it's still a dangerous infectious disease.
A family member of a colleague at work used to enjoy jogging, but due to the aftereffects of jogging, he got tired easily, and his work became even more difficult, not to mention exercising.
Now, if I were in that situation, I would be in real trouble."
2022-07-24 14:13:32+00:00,tomapokego,今久々出張から帰宅した嫁の第一声。『え　なんでおるん⁉︎部屋から出てくんなよ💢』　普通は大丈夫やった？とかちゃうの？こっちずっと1人で身の回りのことしててんから部屋にこもるとか不可能やろ。まじ1人の方がストレスフリーやった。コロナうつすぞ…くそ嫁が…呪 https://t.co/vuRtl9RVW8,今久々出張から帰宅した嫁の第一声。『え　なんでおるん⁉︎部屋から出てくんなよ💢』　普通は大丈夫やった？とかちゃうの？こっちずっと1人で身の回りのことしててんから部屋にこもるとか不可能やろ。まじ1人の方がストレスフリーやった。コロナうつすぞ…くそ嫁が…呪  ,"The first voice of my wife who came home from a business trip after a long absence. ``Why is she here!? Do you want to say? It's impossible for me to shut myself up in my room because I've been doing things all by myself. Seriously, one person was stress free. I'm going to get corona... my damn wife... curse"
2022-07-24 14:11:44+00:00,akane90212143,今日から25週！3年ぶりの実家で布団が合わなかったりするけど👶は今日も元気そうだしコロナのストレス少し減ったのも良かった！明日の夜は少し歩けるといいなぁ,今日から25週！3年ぶりの実家で布団が合わなかったりするけど👶は今日も元気そうだしコロナのストレス少し減ったのも良かった！明日の夜は少し歩けるといいなぁ,"25 weeks from today! It's been 3 years since my parents' house and the futon doesn't fit, but 👶 looks fine today, and it's good that the stress of corona has decreased a little! I hope I can walk a little tomorrow night"
2022-07-24 14:08:45+00:00,TamaiKikaku,この所、疲れが大変蓄積しているらしく、夜勤明けの夕方も、なかなかスッキリしない。遠出すれば、気分転換になり、疲労軽減になるだらうが、まだまだ遠出は無理でせう。疲れが、精神面にも影響が出て、面倒になることが多い。コロナ渦の副作用だ。どうすれば、良いのやら…。,この所、疲れが大変蓄積しているらしく、夜勤明けの夕方も、なかなかスッキリしない。遠出すれば、気分転換になり、疲労軽減になるだらうが、まだまだ遠出は無理でせう。疲れが、精神面にも影響が出て、面倒になることが多い。コロナ渦の副作用だ。どうすれば、良いのやら…。,"Lately, fatigue seems to be accumulating, and it's hard to feel refreshed in the evening after the night shift. If I go out, it will change my mood and reduce my fatigue, but I still can't go out. Tiredness affects the mental aspect, and it is often troublesome. It's a side effect of the corona vortex. How can I do better..."
2022-07-24 14:08:22+00:00,mamepippippi,因果関係はさだかではないけど、1ヶ月早産したのはストレスによるところが大きいと思うんですよね。産後もストレス与え続けてくれて、先述の「連絡は旦那に」の気まずいやりとりも頭から消え去り、当然のように病院に押しかけようとした。コロナで面会謝絶じゃなかったらと思うとゾッとする。,因果関係はさだかではないけど、1ヶ月早産したのはストレスによるところが大きいと思うんですよね。産後もストレス与え続けてくれて、先述の「連絡は旦那に」の気まずいやりとりも頭から消え去り、当然のように病院に押しかけようとした。コロナで面会謝絶じゃなかったらと思うとゾッとする。,"I'm not sure about the causal relationship, but I think stress was a big factor in giving birth one month prematurely. Even after giving birth, he continued to give me stress, and the awkward exchange of ""contact my husband"" disappeared from my mind, and I naturally tried to rush to the hospital. I'm horrified to think that I hadn't been banned from visiting due to Corona."
2022-07-24 14:07:40+00:00,oishikutaberuzo,コロナ禍で飲食のこと以外はほぼストレスを感じていない(しかもお取り寄せ等で発散)このタヌキ、確かに体重管理は得意💪,コロナ禍で飲食のこと以外はほぼストレスを感じていない(しかもお取り寄せ等で発散)このタヌキ、確かに体重管理は得意💪,This raccoon dog is really good at managing his weight 💪
2022-07-24 14:02:51+00:00,adjp_2357,コロナ禍はじまってからストレス解消のための飲食物増えたな,コロナ禍はじまってからストレス解消のための飲食物増えたな,"Since the start of the corona crisis, I've been eating more food to relieve stress"
2022-07-24 14:01:24+00:00,fubuki29645,"愚痴らしてください
マジで旦那無理😫
自宅待機期間ずーっとあーしろこーしろとマジでうるさい😡
あれどうする❓これどうする❓と自分で考えずめんどくさいことは委ねてくるし😡
この息苦しさはコロナの兆候なのかストレスなのか💦
火曜日から仕事復帰する予定なので後1日我慢😡
マジで限界です😡😡😡","愚痴らしてください
マジで旦那無理😫
自宅待機期間ずーっとあーしろこーしろとマジでうるさい😡
あれどうする❓これどうする❓と自分で考えずめんどくさいことは委ねてくるし😡
この息苦しさはコロナの兆候なのかストレスなのか💦
火曜日から仕事復帰する予定なので後1日我慢😡
マジで限界です😡😡😡","please complain
Seriously my husband can't do it😫
I'm really noisy all the time during my stay-at-home period 😡
I don't think about what to do about that and what to do about this and leave the troublesome things to you😡
Is this shortness of breath a sign of corona or stress 💦
I'm planning to return to work on Tuesday, so I'll be patient for the next day😡
It's really the limit 😡😡😡"
2022-07-24 13:57:07+00:00,nekocatdaisuki,"我が家3年ぶりに熱出てる。マスク生活始まって病気と無縁やったのに
息子の次は娘。コロナではない今ネットニュースでよく見る「凶悪な風邪」の方RSと思われ私も喉が違和感から痛みへ昇格
１人完全フリーガラ空きの世話係つまり無職旦那がいるからなんとか大丈夫。
ストレスから解放された人間はつおい","我が家3年ぶりに熱出てる。マスク生活始まって病気と無縁やったのに
息子の次は娘。コロナではない今ネットニュースでよく見る「凶悪な風邪」の方RSと思われ私も喉が違和感から痛みへ昇格
１人完全フリーガラ空きの世話係つまり無職旦那がいるからなんとか大丈夫。
ストレスから解放された人間はつおい","My house has a fever for the first time in 3 years. Since I started wearing masks, I've been free from illness
After my son, my daughter. It's not the corona virus, but the ``heinous cold'' that you often see on the internet news.
There is a caretaker who is completely free gala, that is, an unemployed husband, so it's okay somehow.
Human beings freed from stress are tough"
2022-07-24 13:53:31+00:00,OUT_SIZED_MAN,コロナではないけど風邪の後遺症でキーが6コくらい下がってまともに歌えなくなったのかなりストレス,コロナではないけど風邪の後遺症でキーが6コくらい下がってまともに歌えなくなったのかなりストレス,"It's not Corona, but due to the aftereffects of a cold, the key dropped by about 6 and I couldn't sing properly, so it's pretty stressful"
2022-07-24 13:50:11+00:00,shochan1225,"明日のTHE TIME、みなみん休みは、運営は今回はナイス判断だと思う。
疲れが溜まってる状態で早朝からの生放送はマジでしんどいし、久保ちゃんみたいにコロナになるかもしれないからね。
#梅澤美波
#乃木坂46","明日のTHE TIME、みなみん休みは、運営は今回はナイス判断だと思う。
疲れが溜まってる状態で早朝からの生放送はマジでしんどいし、久保ちゃんみたいにコロナになるかもしれないからね。
#梅澤美波
#乃木坂46","Tomorrow's THE TIME, Minami-no-hi, I think the management made a nice decision this time.
It's really hard to live broadcast from early in the morning when I'm tired, and I might get coronavirus like Kubo-chan.
#minami umezawa
#nogizaka46"
2022-07-24 13:49:52+00:00,wb2Tepdnlj2TeRe,"まだコロナかもわからんけどこの土日家にいるだけでほんとストレス( ꒪ͧд꒪ͧ)
旦那と長女は2人で連日お出かけしてるし( ꒪ͧд꒪ͧ)","まだコロナかもわからんけどこの土日家にいるだけでほんとストレス( ꒪ͧд꒪ͧ)
旦那と長女は2人で連日お出かけしてるし( ꒪ͧд꒪ͧ)","I don't know if it's still corona, but just being at home this weekend is really stressful ( ꒪ͧд꒪ͧ)
My husband and eldest daughter go out together every day ( ꒪ͧд꒪ͧ)"
2022-07-24 13:47:47+00:00,gfT6cigLXr8w4Dy,"毎日新聞ニュースからのスクリーンショット。
子供さん達確りコロナから重症化や後遺症から守る事を優先日しませんと、母親が仕事を休むに継り母親が感染したらと連鎖が発生し、社会が麻痺する‼️
親のストレスは凄いと思いますから行政は細かな手当を‼️ https://t.co/TSBVO8hLrX","毎日新聞ニュースからのスクリーンショット。
子供さん達確りコロナから重症化や後遺症から守る事を優先日しませんと、母親が仕事を休むに継り母親が感染したらと連鎖が発生し、社会が麻痺する‼️
親のストレスは凄いと思いますから行政は細かな手当を‼️  ","Screenshot from Mainichi Shimbun news.
If children do not make it a priority to protect their children from the aggravation and aftereffects of the coronavirus, a chain reaction will occur when the mother is absent from work and the mother becomes infected, paralyzing society. ️
I think the stress of parents is amazing, so the administration should give a small allowance! ️"
2022-07-24 13:47:32+00:00,knip333,これからって時に趣味初められるの嫌って気持ちももちろん共感するけど、そうは言っても出産まで数ヶ月はあるし普段仕事でストレス感じとるやろうし行動制限のある妊婦に何か求めるよりも外で一人でストレス発散（もちろんコロナ対策はしながら）して解決してくれたほうが有り難いかもなとも思う🤔,これからって時に趣味初められるの嫌って気持ちももちろん共感するけど、そうは言っても出産まで数ヶ月はあるし普段仕事でストレス感じとるやろうし行動制限のある妊婦に何か求めるよりも外で一人でストレス発散（もちろんコロナ対策はしながら）して解決してくれたほうが有り難いかもなとも思う🤔,"Of course, I can sympathize with the feeling of dislike for starting hobbies from now on, but even so, there are still a few months until childbirth, and I usually feel stressed at work. I think it would be more appreciated if you could relieve stress (while taking measures against corona, of course) and solve it 🤔"
2022-07-24 13:46:21+00:00,you_pipirow,"最近は病院行っても
「ストレスですね」
か
「老化ですね」
しか言われなかったけど、
今度からは
「コロナ後遺症ですね」
とか言われるようになるんだろうか。。

#コロナ後遺症","最近は病院行っても
「ストレスですね」
か
「老化ですね」
しか言われなかったけど、
今度からは
「コロナ後遺症ですね」
とか言われるようになるんだろうか。。

#コロナ後遺症","Even if I go to the hospital recently
""It's stressful.""
mosquito
""You're aging.""
I was only told,
from now on
""It's the aftereffects of the corona virus.""
I wonder if it will be said. .

#Corona sequelae"
2022-07-24 13:44:16+00:00,t3YABH1pG8B2AYk,"秋山、無理しなくて良かった❗️勝ち越し決めてたし、何とか五割で終われたし、後半戦に備えて怪我はいけない‼️
九里、中継ぎからの先発で大変だったのに、ヤクルト打線相手に粘って、打って走って、お疲れ様✨コンディションが心配だけど🥲
後半戦もコロナとの戦いは続く。束の間、疲れを癒してね🎏♨️","秋山、無理しなくて良かった❗️勝ち越し決めてたし、何とか五割で終われたし、後半戦に備えて怪我はいけない‼️
九里、中継ぎからの先発で大変だったのに、ヤクルト打線相手に粘って、打って走って、お疲れ様✨コンディションが心配だけど🥲
後半戦もコロナとの戦いは続く。束の間、疲れを癒してね🎏♨️","Akiyama, I'm glad I didn't overdo it. ️
Guri, although it was difficult starting from the middleman, he stuck to the Yakult batting line, hit and run, good job ✨ I'm worried about my condition 🥲
The battle against Corona continues in the second half. For a moment, heal your fatigue 🎏♨️"
2022-07-24 13:43:41+00:00,WbE0blBDyig7Wve,今日はミニオンを観に行ってきました😆✨✨✨可愛かったし楽しかったー✨コロナが怖いので田舎の映画館の夜の部にした大人が多めでした😆皆めちゃわらってた✨体調はまだ完全じゃないけどすごいストレス発散になった😆 https://t.co/crPdBGjfcb,今日はミニオンを観に行ってきました😆✨✨✨可愛かったし楽しかったー✨コロナが怖いので田舎の映画館の夜の部にした大人が多めでした😆皆めちゃわらってた✨体調はまだ完全じゃないけどすごいストレス発散になった😆  ,"Today I went to see Minions😆✨✨✨It was cute and fun✨There were a lot of adults who went to the movie theater in the countryside because they were afraid of Corona😆Everyone was laughing✨I'm not feeling well It's not perfect, but it was a great stress relief😆"
2022-07-24 13:42:22+00:00,pkp_mayai,推しのコロナ感染と就活のストレスと生理が重なってる今、メンタルゴミカスすぎてやべ〜 こんな時にinjが海辺でギター弾いてくれたら情緒おかしくなって泣いちゃうかも……(生理の時に海辺でギター引いてくれる男なんていない)(いる),推しのコロナ感染と就活のストレスと生理が重なってる今、メンタルゴミカスすぎてやべ〜 こんな時にinjが海辺でギター弾いてくれたら情緒おかしくなって泣いちゃうかも……(生理の時に海辺でギター引いてくれる男なんていない)(いる),"Now that my favorite coronavirus infection, the stress of job hunting, and my period are all at the same time, it's too much mental garbage~ If inj played the guitar at the beach at a time like this, I might go crazy and cry... There is no man who can help me) (there is)"
2022-07-24 13:41:53+00:00,Kiyomama20,"新型コロナウイルスに感染して、多分一番ストレスのかからない方法。

・症状が出たら家に帰る
・コールドクターなどの往診サービスアプリをスマホにダウンロード
・名前、住所、スマホ電話番号、保険証、クレジットカードを登録
・アプリから往診依頼
↓","新型コロナウイルスに感染して、多分一番ストレスのかからない方法。

・症状が出たら家に帰る
・コールドクターなどの往診サービスアプリをスマホにダウンロード
・名前、住所、スマホ電話番号、保険証、クレジットカードを登録
・アプリから往診依頼
↓","Probably the least stressful way to get infected with the new coronavirus.

- Go home if symptoms occur
・ Download a home visit service app such as a call doctor to your smartphone
・ Register your name, address, smartphone phone number, insurance card, and credit card
・ Request a home visit from the app
↓"
2022-07-24 13:40:06+00:00,mico1358,"は？新規感染者日本が世界1？

マスクもワクチンもどこのお国よりも
やってるはずですが意味なし？

結局、栄養と睡眠とストレス発散で
自分の免疫力上げて立ち向かうしか
道はないのか。

2年半もの間コロナ音頭を
踊らされた気分。","は？新規感染者日本が世界1？

マスクもワクチンもどこのお国よりも
やってるはずですが意味なし？

結局、栄養と睡眠とストレス発散で
自分の免疫力上げて立ち向かうしか
道はないのか。

2年半もの間コロナ音頭を
踊らされた気分。","teeth? New infected Japan is the world's No. 1?

More masks and vaccines than any other country
I should be doing it, but it doesn't make sense?

After all, with nutrition, sleep and stress relief
Just raise your immune system and face it
Is there no way

Corona Ondo for two and a half years
I feel danced."
2022-07-24 13:39:43+00:00,nami_imgn,もう頭痛いのがコロナなのか寝不足なのかストレスなのかよくわからない。。。,もう頭痛いのがコロナなのか寝不足なのかストレスなのかよくわからない。。。,"I don't really know if my headache is corona, lack of sleep, or stress. . ."
